airport,pagerank
MRC,2.455752241186202E-4
MI2,2.455752241186202E-4
MSV,2.453732131158932E-4
GA5,2.446861845654537E-4
GLR,2.4427728637213075E-4
BDR,2.4388328753361654E-4
VCV,2.4385229461593372E-4
BTL,2.4385229461593372E-4
UBF,2.43581073550801E-4
IRK,2.4355864754727622E-4
SEF,2.433719737964669E-4
MAZ,2.432107895664182E-4
DUA,2.4274903826871708E-4
ARA,2.409808655179023E-4
TMB,2.382728251438093E-4
TDF,2.3105493588424826E-4
UOX,1.6574585635359117E-4
CEF,1.6574585635359117E-4
UXK,1.6574585635359117E-4
BCB,1.6574585635359117E-4
CIC,1.6574585635359117E-4
PAQ,1.6574585635359117E-4
ERV,1.6574585635359117E-4
ALN,1.6574585635359117E-4
SDX,1.6574585635359117E-4
AZ3,1.6574585635359117E-4
BJC,1.6574585635359117E-4
VWD,1.6574585635359117E-4
MVW,1.6574585635359117E-4
N1Y,1.6574585635359117E-4
